# SID Intervals for LFMN - Nice
# Available SIDs: BADOD, BASIP, BODRU, EPOLO, IRMAR, LANKO, LONSU, OKTET, PERUS, RUBAS, RUBIT, SODRI, TURIL, VAREK
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 04L
LFMN,22L,RUBIT,LANKO,2
LFMN,22L,RUBIT,LONSU,2
LFMN,22L,RUBIT,OKTET,2
LFMN,22L,RUBIT,PERUS,2
LFMN,22L,RUBIT,RUBAS,2
LFMN,22L,RUBIT,RUBIT,2
LFMN,22L,RUBIT,SODRI,2
LFMN,22L,RUBIT,TURIL,2
LFMN,22L,RUBIT,VAREK,2

LFMN,22L,SODRI,BADOD,2
LFMN,22L,SODRI,BASIP,2
LFMN,22L,SODRI,BODRU,2
LFMN,22L,SODRI,EPOLO,2
LFMN,22L,SODRI,IRMAR,2
LFMN,22L,SODRI,LANKO,2
LFMN,22L,SODRI,LONSU,2
LFMN,22L,SODRI,OKTET,2
LFMN,22L,SODRI,PERUS,2
LFMN,22L,SODRI,RUBAS,2
LFMN,22L,SODRI,RUBIT,2
LFMN,22L,SODRI,SODRI,2
LFMN,22L,SODRI,TURIL,2
LFMN,22L,SODRI,VAREK,2

LFMN,22L,TURIL,BADOD,2
LFMN,22L,TURIL,BASIP,2
LFMN,22L,TURIL,BODRU,2
LFMN,22L,TURIL,EPOLO,2
LFMN,22L,TURIL,IRMAR,2
LFMN,22L,TURIL,LANKO,2
LFMN,22L,TURIL,LONSU,2
LFMN,22L,TURIL,OKTET,2
LFMN,22L,TURIL,PERUS,2
LFMN,22L,TURIL,RUBAS,2
LFMN,22L,TURIL,RUBIT,2
LFMN,22L,TURIL,SODRI,2
LFMN,22L,TURIL,TURIL,2
LFMN,22L,TURIL,VAREK,2

LFMN,22L,VAREK,BADOD,2
LFMN,22L,VAREK,BASIP,2
LFMN,22L,VAREK,BODRU,2
LFMN,22L,VAREK,EPOLO,2
LFMN,22L,VAREK,IRMAR,2
LFMN,22L,VAREK,LANKO,2
LFMN,22L,VAREK,LONSU,2
LFMN,22L,VAREK,OKTET,2
LFMN,22L,VAREK,PERUS,2
LFMN,22L,VAREK,RUBAS,2
LFMN,22L,VAREK,RUBIT,2
LFMN,22L,VAREK,SODRI,2
LFMN,22L,VAREK,TURIL,2
LFMN,22L,VAREK,VAREK,2

## RWY 22R
LFMN,22R,BADOD,BADOD,2
LFMN,22R,BADOD,BASIP,2
LFMN,22R,BADOD,BODRU,2
LFMN,22R,BADOD,EPOLO,2
LFMN,22R,BADOD,IRMAR,2
LFMN,22R,BADOD,LANKO,2
LFMN,22R,BADOD,LONSU,2
LFMN,22R,BADOD,OKTET,2
LFMN,22R,BADOD,PERUS,2
LFMN,22R,BADOD,RUBAS,2
LFMN,22R,BADOD,RUBIT,2
LFMN,22R,BADOD,SODRI,2
LFMN,22R,BADOD,TURIL,2
LFMN,22R,BADOD,VAREK,2

LFMN,22R,BASIP,BADOD,2
LFMN,22R,BASIP,BASIP,2
LFMN,22R,BASIP,BODRU,2
LFMN,22R,BASIP,EPOLO,2
LFMN,22R,BASIP,IRMAR,2
LFMN,22R,BASIP,LANKO,2
LFMN,22R,BASIP,LONSU,2
LFMN,22R,BASIP,OKTET,2
LFMN,22R,BASIP,PERUS,2
LFMN,22R,BASIP,RUBAS,2
LFMN,22R,BASIP,RUBIT,2
LFMN,22R,BASIP,SODRI,2
LFMN,22R,BASIP,TURIL,2
LFMN,22R,BASIP,VAREK,2

LFMN,22R,BODRU,BADOD,2
LFMN,22R,BODRU,BASIP,2
LFMN,22R,BODRU,BODRU,2
