# SID Intervals for LFPO - Paris-Orly
# Available SIDs: 
# Format: <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

## RWY 02
LFPO,07,ATREX,DORDI,2
LFPO,07,ATREX,ELCOB,2
LFPO,07,ATREX,ERIXU,2
LFPO,07,ATREX,LGL,2
LFPO,07,ATREX,MONOT,2
LFPO,07,ATREX,NURMO,2
LFPO,07,ATREX,OKASI,2
LFPO,07,ATREX,OLZOM,2
LFPO,07,ATREX,OPALE,2
LFPO,07,ATREX,PILUL,2

LFPO,07,BUBLI,AGOPA,2
LFPO,07,BUBLI,ATREX,2
LFPO,07,BUBLI,BUBLI,2
LFPO,07,BUBLI,DIKOL,2
LFPO,07,BUBLI,DORDI,2
LFPO,07,BUBLI,ELCOB,2
LFPO,07,BUBLI,ERIXU,2
LFPO,07,BUBLI,LGL,2
LFPO,07,BUBLI,MONOT,2
LFPO,07,BUBLI,NURMO,2
LFPO,07,BUBLI,OKASI,2
LFPO,07,BUBLI,OLZOM,2
LFPO,07,BUBLI,OPALE,2
LFPO,07,BUBLI,PILUL,2

LFPO,07,DIKOL,AGOPA,2
LFPO,07,DIKOL,ATREX,2
LFPO,07,DIKOL,BUBLI,2
LFPO,07,DIKOL,DIKOL,2
LFPO,07,DIKOL,DORDI,2
LFPO,07,DIKOL,ELCOB,2
LFPO,07,DIKOL,ERIXU,2
LFPO,07,DIKOL,LGL,2
LFPO,07,DIKOL,MONOT,2
LFPO,07,DIKOL,NURMO,2
LFPO,07,DIKOL,OKASI,2
LFPO,07,DIKOL,OLZOM,2
LFPO,07,DIKOL,OPALE,2
LFPO,07,DIKOL,PILUL,2

LFPO,07,DORDI,AGOPA,2
LFPO,07,DORDI,ATREX,2
LFPO,07,DORDI,BUBLI,2
LFPO,07,DORDI,DIKOL,2
LFPO,07,DORDI,DORDI,2
LFPO,07,DORDI,ELCOB,2
LFPO,07,DORDI,ERIXU,2
LFPO,07,DORDI,LGL,2
LFPO,07,DORDI,MONOT,2
LFPO,07,DORDI,NURMO,2
LFPO,07,DORDI,OKASI,2
LFPO,07,DORDI,OLZOM,2
LFPO,07,DORDI,OPALE,2
LFPO,07,DORDI,PILUL,2

LFPO,07,ELCOB,AGOPA,2
LFPO,07,ELCOB,ATREX,2
LFPO,07,ELCOB,BUBLI,2
LFPO,07,ELCOB,DIKOL,2
LFPO,07,ELCOB,DORDI,2
LFPO,07,ELCOB,ELCOB,2
LFPO,07,ELCOB,ERIXU,2
LFPO,07,ELCOB,LGL,2
LFPO,07,ELCOB,MONOT,2
LFPO,07,ELCOB,NURMO,2
LFPO,07,ELCOB,OKASI,2
LFPO,07,ELCOB,OLZOM,2
LFPO,07,ELCOB,OPALE,2
LFPO,07,ELCOB,PILUL,2

LFPO,07,ERIXU,AGOPA,2
LFPO,07,ERIXU,ATREX,2
LFPO,07,ERIXU,BUBLI,2
LFPO,07,ERIXU,DIKOL,2
LFPO,07,ERIXU,DORDI,2
LFPO,07,ERIXU,ELCOB,2
LFPO,07,ERIXU,ERIXU,2
LFPO,07,ERIXU,LGL,2
LFPO,07,ERIXU,MONOT,2
LFPO,07,ERIXU,NURMO,2
LFPO,07,ERIXU,OKASI,2
LFPO,07,ERIXU,OLZOM,2
LFPO,07,ERIXU,OPALE,2
LFPO,07,ERIXU,PILUL,2

LFPO,07,LGL,AGOPA,2
LFPO,07,LGL,ATREX,2
LFPO,07,LGL,BUBLI,2
LFPO,07,LGL,DIKOL,2
LFPO,07,LGL,DORDI,2
LFPO,07,LGL,ELCOB,2
LFPO,07,LGL,ERIXU,2
LFPO,07,LGL,LGL,2
LFPO,07,LGL,MONOT,2
LFPO,07,LGL,NURMO,2
LFPO,07,LGL,OKASI,2
LFPO,07,LGL,OLZOM,2
LFPO,07,LGL,OPALE,2
LFPO,07,LGL,PILUL,2

LFPO,07,MONOT,AGOPA,2
LFPO,07,MONOT,ATREX,2
LFPO,07,MONOT,BUBLI,2
LFPO,07,MONOT,DIKOL,2
LFPO,07,MONOT,DORDI,2
LFPO,07,MONOT,ELCOB,2
LFPO,07,MONOT,ERIXU,2
LFPO,07,MONOT,LGL,2
LFPO,07,MONOT,MONOT,2
LFPO,07,MONOT,NURMO,2
LFPO,07,MONOT,OKASI,2
LFPO,07,MONOT,OLZOM,2
LFPO,07,MONOT,OPALE,2
LFPO,07,MONOT,PILUL,2

LFPO,07,NURMO,AGOPA,2
LFPO,07,NURMO,ATREX,2
LFPO,07,NURMO,BUBLI,2
LFPO,07,NURMO,DIKOL,2
LFPO,07,NURMO,DORDI,2
LFPO,07,NURMO,ELCOB,2
LFPO,07,NURMO,ERIXU,2
LFPO,07,NURMO,LGL,2
LFPO,07,NURMO,MONOT,2
LFPO,07,NURMO,NURMO,2
LFPO,07,NURMO,OKASI,2
LFPO,07,NURMO,OLZOM,2
LFPO,07,NURMO,OPALE,2
LFPO,07,NURMO,PILUL,2

LFPO,07,OKASI,AGOPA,2
LFPO,07,OKASI,ATREX,2
LFPO,07,OKASI,BUBLI,2
LFPO,07,OKASI,DIKOL,2
LFPO,07,OKASI,DORDI,2
LFPO,07,OKASI,ELCOB,2
LFPO,07,OKASI,ERIXU,2
LFPO,07,OKASI,LGL,2
LFPO,07,OKASI,MONOT,2
LFPO,07,OKASI,NURMO,2
LFPO,07,OKASI,OKASI,2
LFPO,07,OKASI,OLZOM,2
LFPO,07,OKASI,OPALE,2
LFPO,07,OKASI,PILUL,2

LFPO,07,OLZOM,AGOPA,2
LFPO,07,OLZOM,ATREX,2
LFPO,07,OLZOM,BUBLI,2
LFPO,07,OLZOM,DIKOL,2
LFPO,07,OLZOM,DORDI,2
LFPO,07,OLZOM,ELCOB,2
LFPO,07,OLZOM,ERIXU,2
LFPO,07,OLZOM,LGL,2
LFPO,07,OLZOM,MONOT,2
LFPO,07,OLZOM,NURMO,2
LFPO,07,OLZOM,OKASI,2
LFPO,07,OLZOM,OLZOM,2
LFPO,07,OLZOM,OPALE,2
LFPO,07,OLZOM,PILUL,2

LFPO,07,OPALE,AGOPA,2
LFPO,07,OPALE,ATREX,2
LFPO,07,OPALE,BUBLI,2
LFPO,07,OPALE,DIKOL,2
LFPO,07,OPALE,DORDI,2
LFPO,07,OPALE,ELCOB,2
LFPO,07,OPALE,ERIXU,2
LFPO,07,OPALE,LGL,2
LFPO,07,OPALE,MONOT,2
LFPO,07,OPALE,NURMO,2
LFPO,07,OPALE,OKASI,2
LFPO,07,OPALE,OLZOM,2
LFPO,07,OPALE,OPALE,2
LFPO,07,OPALE,PILUL,2

LFPO,07,PILUL,AGOPA,2
LFPO,07,PILUL,ATREX,2
LFPO,07,PILUL,BUBLI,2
LFPO,07,PILUL,DIKOL,2
LFPO,07,PILUL,DORDI,2
LFPO,07,PILUL,ELCOB,2
LFPO,07,PILUL,ERIXU,2
LFPO,07,PILUL,LGL,2
LFPO,07,PILUL,MONOT,2
LFPO,07,PILUL,NURMO,2
LFPO,07,PILUL,OKASI,2
LFPO,07,PILUL,OLZOM,2
LFPO,07,PILUL,OPALE,2
LFPO,07,PILUL,PILUL,2

## RWY 20
LFPO,20,AGOPA,AGOPA,2
LFPO,20,AGOPA,ATREX,2
LFPO,20,AGOPA,BUBLI,2
LFPO,20,AGOPA,DIKOL,2
LFPO,20,AGOPA,DORDI,2
LFPO,20,AGOPA,ELCOB,2
LFPO,20,AGOPA,ERIXU,2
LFPO,20,AGOPA,LGL,2
LFPO,20,AGOPA,MONOT,2
LFPO,20,AGOPA,NURMO,2
LFPO,20,AGOPA,OKASI,2
LFPO,20,AGOPA,OLZOM,2
LFPO,20,AGOPA,OPALE,2
LFPO,20,AGOPA,PILUL,2

LFPO,20,ATREX,AGOPA,2
LFPO,20,ATREX,ATREX,2
LFPO,20,ATREX,BUBLI,2
LFPO,20,ATREX,DIKOL,2
LFPO,20,ATREX,DORDI,2
LFPO,20,ATREX,ELCOB,2
LFPO,20,ATREX,ERIXU,2
LFPO,20,ATREX,LGL,2
LFPO,20,ATREX,MONOT,2
LFPO,20,ATREX,NURMO,2
LFPO,20,ATREX,OKASI,2
LFPO,20,ATREX,OLZOM,2
LFPO,20,ATREX,OPALE,2
LFPO,20,ATREX,PILUL,2

LFPO,20,BUBLI,AGOPA,2
LFPO,20,BUBLI,ATREX,2
LFPO,20,BUBLI,BUBLI,2
LFPO,20,BUBLI,DIKOL,2
LFPO,20,BUBLI,DORDI,2
LFPO,20,BUBLI,ELCOB,2
LFPO,20,BUBLI,ERIXU,2
LFPO,20,BUBLI,LGL,2
LFPO,20,BUBLI,MONOT,2
LFPO,20,BUBLI,NURMO,2
LFPO,20,BUBLI,OKASI,2
LFPO,20,BUBLI,OLZOM,2
LFPO,20,BUBLI,OPALE,2
LFPO,20,BUBLI,PILUL,2

LFPO,20,DIKOL,AGOPA,2
LFPO,20,DIKOL,ATREX,2
LFPO,20,DIKOL,BUBLI,2
LFPO,20,DIKOL,DIKOL,2
LFPO,20,DIKOL,DORDI,2
LFPO,20,DIKOL,ELCOB,2
LFPO,20,DIKOL,ERIXU,2
LFPO,20,DIKOL,LGL,2
LFPO,20,DIKOL,MONOT,2
LFPO,20,DIKOL,NURMO,2
LFPO,20,DIKOL,OKASI,2
LFPO,20,DIKOL,OLZOM,2
LFPO,20,DIKOL,OPALE,2
LFPO,20,DIKOL,PILUL,2

